index,account,page,postdate,tweet,link,comments,retweets,likes,views,replysource
24,"Diskusi dan Sharing Seputar Bayi","","unknown","Mau bertnya bunda bunda imunisasi campak yg 9 bulan bikin demam engak ya dan yg si suntik bagian apa aja","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
25,"Diskusi dan Sharing Seputar Bayi","","unknown","ada yang tau ini kenapa? sudah priksa ke klinik, dokter memastikan ini bukan campak karena tdk disertai gejala2 lain. tapi tdk menjelaskan ini sebenarnya kenapa? sudah diresepkan salep tapi belum ada perubahan. Lihat Lebih Sedikit ada yang tau ini kenapa? sudah priksa ke klinik, dokter memastikan ini bukan campak karena tdk disertai gejala2 lain. tapi tdk menjelaskan ini sebenarnya kenapa? sudah diresepkan salep tapi belum ada perubahan. Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
26,"Diskusi dan Sharing Seputar Bayi","","unknown","Musim campak membuat anak aku gak bergairah. Demam udah 1 minggu beserta bapil ' panas dalam dan sariawan. Sabtu anak aku mulai mengluarkan bintik"" merah , bahkan minggu malam seninnya anak aku kluar campaknya dari muka sampai kebadan"" .Lemas bahkan matanya susah untuk melek. Untuk nafas pun agak kencang. Alhasil anak aku di rawat agar dapat di infus biar tidak ke kurangan cairan. Lihat Lebih Sedikit Musim campak membuat anak aku gak bergairah. Demam udah 1 minggu beserta bapil ' panas dalam dan sariawan. Sabtu anak aku mulai mengluarkan bintik"" merah , bahkan minggu malam seninnya anak aku kluar campaknya dari muka sampai kebadan"" . Lemas bahkan matanya susah untuk melek. Untuk nafas pun agak kencang. Alhasil anak aku di rawat agar dapat di infus biar tidak ke kurangan cairan. Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
27,"Diskusi dan Sharing Seputar Bayi","","unknown","bunda disini yg udah imunisasi campak? efeknya panas ngga ya? katanya ada yg muncul ruam setelah imunisasi campak itu benar ngga ya","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
28,"Diskusi dan Sharing Seputar Bayi","","unknown","mau tanya bun, imunisasi campak bikin anak demam gak, besok jadwal anak ku suntik campak, cmn baru aja dia sembuh dri demam sma diare nya, dn baru hari ini jg dia doyan makan lagi, bimbang, biasanya abis imunisasi anak ku demam","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
29,"Diskusi dan Sharing Seputar Bayi","","unknown","Setelah demam 3hari muncul ruam merah dibadan sampek wajah. Apakah itu campak bunda??Sekarang bayiku udh gak demam, jd kata bidan desa gak perlu berobat.Klo bunda gimana cara penanganan bayinya klo kena campak? Sharing dong Setelah demam 3hari muncul ruam merah dibadan sampek wajah. Apakah itu campak bunda?? Sekarang bayiku udh gak demam, jd kata bidan desa gak perlu berobat. Klo bunda gimana cara penanganan bayinya klo kena campak? Sharing dong","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
30,"Diskusi dan Sharing Seputar Bayi","","unknown","Bun, anakku baru aja kena campak, kira2 apa aja yang perlu aku lakuin sebagai newmom ya? Soalnya tadi mau imunisasi gajadi karena udah keluar ruam campaknya, udah dikasih obatnya sama klinik+udah dikasih tau apa aja yang harus dilakuin (cuma kurang kedengeran karena posisi lagi sibuk dan agak berisik karena ada acara imunisasi). Aku juga posisinya tinggal sama suami sama anak aja ga sama ortuku, jadi kurang tau apa yang harus aku lakuin Bun, anakku baru aja kena campak, kira2 apa aja yang perlu aku lakuin sebagai newmom ya? Soalnya tadi mau imunisasi gajadi karena udah keluar ruam campaknya, udah dikasih obatnya sama klinik+udah dikasih tau apa aja yang harus dilakuin (cuma kurang kedengeran karena posisi lagi sibuk dan agak berisik karena ada acara imunisasi). Aku juga posisinya tinggal sama suami sama anak aja ga sama ortuku, jadi kurang tau apa yang harus aku lakuin","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
31,"Diskusi dan Sharing Seputar Bayi","","unknown","Bun, apakah boleh imunisasi pcv di barengin sama campak dalam bulan yang sama? Misalkan campak tgl 10, pcv tanggal 20 Soalnya anak saya pcv nya tertinggal. Anak saya usia 9 bulan...","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
32,"Diskusi dan Sharing Seputar Bayi","","unknown","kalo campak kluar dikit doang di leher ajja udh aga item di suruh tubuh gaada apakah bahaya . nanya ke dokter anak dibilang campak. nginep di RS dibilang bukan campak jadi bingung kalo campak kluar dikit doang di leher ajja udh aga item di suruh tubuh gaada apakah bahaya . nanya ke dokter anak dibilang campak. nginep di RS dibilang bukan campak jadi bingung","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
33,"Diskusi dan Sharing Seputar Bayi","","unknown","Bun campak yang 9 bulan gpp di suntik di 11 bulan","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
