index,account,postdate,tweet,link,comments,retweets,likes,views,replysource
34,beritartm,2025-03-03T03:24:49.000Z,"Kennedy, who was recently sworn in as Health Secretary, has previously often made misleading claims regarding the safety of the measles, mumps, and rubella (MMR) vaccine. https://berita.rtm.gov.my/dunia/senarai-berita-dunia/senarai-artikel/robert-f-kennedy-jr-sokong-penggunaan-vaksin-campak…  'Yang sahih di Berita RTM' #RTM #BeritaRTM #MalaysiaMadani #TaatSetia",https://x.com/beritartm/status/1896401348117299611,0,0,0,186,NaN
35,Fahmibinhassan,2025-03-03T02:51:16.000Z,"US lantik Rober F Kennedy Jr sebagai State Secretary of Health.  Dia antivaksin tegar dan pengikut teori konspirasi. Banyak promosi rawatan yang tiada bukti.   Selepas wabak campak berlaku dan sebabkan kematian, dia akhirnya minta ibu bapa untuk pertimbangkan kepentingan vaksin.",https://x.com/Fahmibinhassan/status/1896392905641853149,0,0,0,297,NaN
36,rskdsitifatimah,2025-03-03T00:29:23.000Z,"Imunisasi adalah proses pembentukan kekebalan tubuh terhadap suatu penyakit. Proses ini dilakukan melalui pemberian vaksin, baik berupa suntikan ataupun minum. Berikut jadwal pelayanan imunisasi di RSKDIA Siti Fatimah. ____ #imunisasi #BCG #DPT#Polio #campak #rskdiasitifatimah",https://x.com/rskdsitifatimah/status/1896357201008333078,0,0,0,55,NaN
37,syahbwz,2025-04-29T19:52:31.000Z,"Masa sekolah dulu takda dapat chicken pox vaccine kan? Dapat vaksin demam campak je kan? Tiber risau sebab tak pernah kena chicken pox so I don't have the immunity against it",https://x.com/syahbwz/status/1917306017941192940,0,0,0,207,NaN
38,xymphoony,2025-04-28T04:59:49.000Z,"Sumpah gue udah vaksin campak guys, ini ketularan dd bayi yang belum campak.",https://x.com/xymphoony/status/1916718976975228959,0,0,0,68,NaN
39,behappyei,2025-04-27T00:23:15.000Z,"Jaman dulu emang campak separah itu. Lu gak liat tahunnya? Waktu itu vaksin belum seluas sekarang. Coba jaman itu orang pada kayak kamu semua memilih jd antivax, campak masih akan jadi penyakit mematikan. https://t.co/mvUcsb0TzL",https://x.com/behappyei/status/1916286986828321032,0,0,0,50,NaN
40,behappyei,2025-04-26T00:02:22.000Z,"Sepupuku juga gini nih, pas anaknya lahir gamau vaksin, dibilangin ngeyel. Dimarahin mamaku, krn mama adlah korban campak parah di usia 3 bln, thn 60an blm masif vaksin, dan membekas diwajahnya sampe sekarang. Di skak sama mamaku, mau anakmu kayak aku?",https://x.com/behappyei/status/1915919346154803258,0,0,0,3,NaN
41,lolitarkd,2025-04-25T01:35:19.000Z,"pernah ketemu balita kena campak sampek pneumonia berat. pas ditanya ortunya apakah vaksin anaknya lengkap. dijawab gk pernah vaksin. gimana gk emosi dok  kasihan banget anaknya punya ortu kyk gitu.",https://x.com/lolitarkd/status/1915580348622086361,0,0,0,237,NaN
42,EtoHendarto,2025-04-24T10:13:42.000Z,"Kita dulu belajar kulitnya saja yg baik2 saja, hanya hal yg baik2 kita ketahui pdhal keampuhan vaksin tdk ada yg mencapai 100% & jg tdk tahu perihal efek2 lainnya. fakta saudara sepupu meninggal krn campak pdhal sdh di vaksin & kakak ipar meninggal krn covid pdhal sdh divaksin jg",https://x.com/EtoHendarto/status/1915348416034746420,0,0,0,81,NaN
43,_heavenpostman,2025-04-24T08:19:11.000Z,"Pernah juga ada campak berat sampe komplikasi pneumoni karena blom vaksin MR. Sedih banget, padahal itu semua bisa dicegah oleh imunisasi",https://x.com/_heavenpostman/status/1915319598188237018,0,0,0,308,NaN
44,nnatawwin,2025-04-24T07:28:21.000Z,"Yakin, aku vaksin lengkap dari kecil(yang dari pemerintah ataupun yang tambahan) booster jg ikut semua dan aku jarang sakit. Waktu kena cacar dan campak pun ngga pernah sampai parah & sampe skrng ga ada bekasnya",https://x.com/nnatawwin/status/1915306805351370876,0,0,0,344,NaN
45,Hari01892872,2025-04-24T02:23:45.000Z,"di negara pembuat vaksin,, kyak amerika ja tidak mewajibkan warga negaranya vaksin campak dan cacar..",https://x.com/Hari01892872/status/1915230150012391546,0,0,0,1,NaN
46,jjkoverrated,2025-04-24T00:34:06.000Z,"Netral sama kehebohan ini, tetep perlu beberapa vaksin yg dibutuhkan spt polio, BCG, campak, hepatitis, rota, tp kalo kyk flu aku sih skip divaksin atau nggak tetep bakalan kena https://x.com/kegblgnunfaedh/kegblgnunfaedh/status/1914945671804985626…",https://x.com/jjkoverrated/status/1915202555484971200,0,0,0,129,NaN
47,Karinbahary2,2025-04-23T23:32:18.000Z,"Gak pernah krna kalo ada vaksin atau suntik campak gua bolos",https://x.com/Karinbahary2/status/1915187004138307767,0,0,0,358,NaN
48,boredsaurus,2025-04-23T22:50:57.000Z,"Kasian sih anak yg dilahirin dari orangtua antivaxer gini. Aku yg lahir taun 95 aja vaksin lengkap. Skrg jaman udah maju, akses informasi udah di mana2, tapi orangtua masih takut anaknya sakit gara2 vaksin. Apa gak lebih kasian kalo anaknya kena campak?",https://x.com/boredsaurus/status/1915176597835178145,0,0,0,612,NaN
49,yoons_cheonsa,2025-04-23T18:52:36.000Z,"Ibu tau gak dampaknya penyakit campak jaman dulu sebelum ada vaksin? Kematian… tp begitu ada vaksin, resiko kematiannya berkurang. Jadi vaksin itu mengurangi resiko berat",https://x.com/yoons_cheonsa/status/1915116612732199396,0,0,0,544,NaN
50,Caocaoever,2025-04-23T17:48:38.000Z,"Sumber gw kemenkes sih bang, bkn AI, masih ngelak lu? Vaksin kan yg di masukkan ke dlm tubuh shg terjadi imunisasi  Perkara vaksin yg dimasukkan lah elu emang ga jelas, covid kan, campak kah, cikumunya. Ya intinya semua vaksin untuk meningkatkan imun.",https://x.com/Caocaoever/status/1915100516826128572,0,0,0,115,NaN
51,khafidsiddiq,2025-04-23T17:41:26.000Z,"Kalo gak vaksin campak ya bisa lebih parah itu",https://x.com/khafidsiddiq/status/1915098702508879875,0,0,0,272,NaN
52,nakedhbee,2025-04-23T13:28:45.000Z,"berilmu dong, kan sekolah belajar yg benar. sekolah mahal kuliah mahal masa ga ada isinya. 'vaksin membantu mencegah penyakit seperti diare dan campak, yang dapat menyebabkan malnutrisi dan stunting'. banyak studinya di google cari aja. pake smartphone kan.",https://x.com/nakedhbee/status/1915035114184249837,0,0,0,240,NaN
53,cinamoyoll,2025-05-27T15:00:08.000Z,"terus ngapain tuh dia pas kecil vaksin campak, hepatitis, dll. kan semua obatnya udah ada di alquran",https://x.com/cinamoyoll/status/1927379299411112081,0,0,0,31,NaN
54,oldchangkew,2025-05-26T08:06:56.000Z,"Kasian aksa jdi demam abis imunisasi 3 vaksin sekaligus dpt, campak sama pcv gws acaaa anak mamah pasti kuatt",https://x.com/oldchangkew/status/1926912927363207664,0,0,0,204,NaN
