index,account,postdate,tweet,link,comments,retweets,likes,views,replysource,relevance_score,veto_reason,is_indonesian,has_topic_keyword,is_relevant,borderline
1387,susuubiungu,2025-01-08T13:33:59.000Z,"Oalaah, ternyata dia ga picky sama semua jenis kebodohan.",https://x.com/susuubiungu/status/1876985705630462091,0,0,0,12,https://x.com/fakhrulroziii/status/1876886294275432694,-0.021071404,,True,True,True,False
1388,apralzolam,2025-01-07T06:09:45.000Z,"Teriak teriak ke IGD karena anaknya kejang. Minta tolong ke IGD.   Pas mau kita masukin obat kejang, eh dilarang sama ortunya. Katanya kasian. Dikasih edukasi tetep kekeuh ga boleh.  Anaknya disentuh jg gaboleh  Lah terus harus gue apain?  Gue sembur terus gue bacain mantra?",https://x.com/apralzolam/status/1876511522102690158,539,3742,40730,2200000,https://x.com/txtorangjualan/status/1876646887086010382,0.119562864,,True,True,True,False
1389,AsmoroM22,2025-01-07T15:17:45.000Z,"Oalah... berarti memang ada banyak ya, tetangga dulu sekarat, di tolongin warga berobat ke rs, gak taunya gak mau minum obat, dikasih duit malah buat beli madu.",https://x.com/AsmoroM22/status/1876649429555642723,1,0,0,1073,https://x.com/txtorangjualan/status/1876646887086010382,0.07304636,,True,True,True,False
1390,txtorangjualan,2025-01-07T15:56:03.000Z,"Iya kak. Aku ga ngadi krn dia adik kandung mama ku. Anti bgt sama obat, vaksin, kb, pokoknya nganggep hal2 itu ga baik",https://x.com/txtorangjualan/status/1876659069769154881,1,0,0,906,https://x.com/txtorangjualan/status/1876646887086010382,0.044658393,,True,True,True,False
1391,inorii_yuzuriha,2025-01-01T04:44:27.000Z,"Kita sakit itu tergantung pola respon tubuh kita. Bakteri apapun di sebar jika pola respon tubuh kita baik, lisosom aktif, jiwa waras dan damai tdk ada ketakutan (imun adalah iman) . Tubuh yg cerdas akan mencerna bakteri tersebut menjadi nutrisi sel.",https://x.com/inorii_yuzuriha/status/1874315729039925374,2,15,47,1,https://x.com/inorii_yuzuriha/status/1874363846129049749,0.11763373,,True,True,True,False
1392,positiveconten1,2025-01-01T05:51:30.000Z,kecuali zat kimia..yg akan merusak tubuh dan imun manusia,https://x.com/positiveconten1/status/1874332603186368571,1,1,0,2621,https://x.com/inorii_yuzuriha/status/1874363846129049749,0.13386649,,True,True,True,False
1393,inorii_yuzuriha,2025-01-01T07:51:17.000Z,Artinya mo vonis org sakit seumur hidup klo kalimat seperti itu. Emang zat kimia ga bisa d keluarkan tubuh? Bodoh sekali tubuh d ciptakan Allah?  Imun ga bisa d perbaiki sehingga sepakat dgn sakit autoimun tdk bisa sembuh?,https://x.com/inorii_yuzuriha/status/1874362745807847926,2,1,4,217,https://x.com/inorii_yuzuriha/status/1874363846129049749,0.11735979,,True,True,True,False
1394,inorii_yuzuriha,2025-01-01T07:52:11.000Z,Kesalahan bisa sd buat manusia tp tdk tertutup kemungkinan bisa bertobat dan sembuh. Pemberi kesembuhan adalah Allah dn manusia tdk bisa memvonis tdk ada kesembuhan.,https://x.com/inorii_yuzuriha/status/1874362974045167972,1,1,7,218,https://x.com/inorii_yuzuriha/status/1874363846129049749,0.14691615,,True,True,True,False
1395,DokterTifa,2025-01-12T00:17:37.000Z,"Virus seperti mobil. Setiap lima tahun, ganti cashing  dan facelift.  Lima tahun lalu COVID. Sekarang HMPV.  Begitu aja terus.  ----  Yang harus diperhatikan buat semua orang adalah, apapun Virus,  yang memang selalu mengelilingi hidup manusia, selau jaga imunitas tubuh secara",https://x.com/DokterTifa/status/1878234845698224346,31,183,671,29800,https://x.com/S_petualang_pi/status/1878312230288298111,-0.0013315976,,True,False,False,False
1396,wingkyp,2025-01-12T11:42:42.000Z,Menurut saya sih nggak dipaksa Elon bisa tuh agak bebas di X,https://x.com/wingkyp/status/1878407250437656825,0,0,0,18,https://x.com/S_petualang_pi/status/1878312230288298111,0.06687802,,True,True,True,False
